section,parameter,value,unit,rationale
7_distribution_summaries,run_speed_q75,236.979469506584,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,run_speed_q90,257.1389933769475,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,stop_speed_median,39.35123203304235,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,stop_speed_q10,14.191186508642046,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,stop_speed_q25,23.51431094260653,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,stop_speed_q75,60.13379138306386,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,stop_speed_q90,85.47617776072093,micron/s,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_turn_angle_median,-0.5352692136646908,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_turn_angle_q10,-30.501097898117,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_turn_angle_q25,-9.177796471020635,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_turn_angle_q75,7.249567896255215,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_turn_angle_q90,26.308555000258558,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,absolute_turn_angle_median,8.17614778080332,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,absolute_turn_angle_q10,1.2201016944397312,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,absolute_turn_angle_q25,3.2568433661871765,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,absolute_turn_angle_q75,21.675194339650723,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,absolute_turn_angle_q90,58.6288509680401,degree,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_acceleration_median,0.38639523301316325,micron/s2,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_acceleration_q10,-139.84428647830597,micron/s2,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_acceleration_q25,-52.6825523255491,micron/s2,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_acceleration_q75,53.28559236322567,micron/s2,Human-readable summary; simulation uses the full exported empirical quantile function.
7_distribution_summaries,signed_acceleration_q90,143.1060749116223,micron/s2,Human-readable summary; simulation uses the full exported empirical quantile function.
8_validation_targets,straightness_median,0.8377356281597658,0_to_1,Emergent validation target; never imposed as a local rule.
8_validation_targets,straightness_q25,0.5060662577004807,0_to_1,Emergent validation target; never imposed as a local rule.
8_validation_targets,straightness_q75,0.989974580237102,0_to_1,Emergent validation target; never imposed as a local rule.
8_validation_targets,tortuosity_median,1.1936940084507048,ratio,Emergent validation target; never imposed as a local rule.
8_validation_targets,tortuosity_q25,1.010126946654021,ratio,Emergent validation target; never imposed as a local rule.
8_validation_targets,tortuosity_q75,1.9760258361106893,ratio,Emergent validation target; never imposed as a local rule.
8_validation_targets,net_displacement_median,455.31087702045437,micron,Emergent validation target; never imposed as a local rule.
8_validation_targets,net_displacement_q25,242.06228483955476,micron,Emergent validation target; never imposed as a local rule.
8_validation_targets,net_displacement_q75,600.7366732663928,micron,Emergent validation target; never imposed as a local rule.
8_validation_targets,path_length_median,574.1228449549357,micron,Emergent validation target; never imposed as a local rule.
8_validation_targets,path_length_q25,453.2945385575572,micron,Emergent validation target; never imposed as a local rule.
8_validation_targets,path_length_q75,740.8922323287777,micron,Emergent validation target; never imposed as a local rule.
